day,revenue,bank,sales_soda,sales_chips
97,91.0,1163.6399999999999,11,8
98,108.75,550.3899999999999,12,9
99,167.0,715.3899999999999,17,13
100,139.5,852.8899999999999,13,10
101,184.0,1034.8899999999999,16,12
102,219.5,1252.3899999999999,18,13
103,99.0,1349.3899999999999,8,6
104,92.0,1439.3899999999999,8,6
105,219.0,696.3899999999999,18,14
106,162.5,856.8899999999999,13,9
107,189.0,1043.8899999999999,14,10
108,217.5,1018.5899999999999,15,11
109,257.5,1274.09,17,12
110,125.5,1397.59,9,7
111,118.5,1514.09,9,6
112,250.5,402.5899999999999,17,13
113,265.5,666.0899999999999,17,13
114,262.0,926.0899999999999,16,12
115,225.0,1149.09,14,10
116,276.0,1423.09,16,12
117,141.0,1562.09,9,6
118,168.5,1728.59,11,8
119,225.0,671.5899999999999,14,10
120,226.5,896.0899999999999,13,10
121,321.5,1215.59,18,13
122,372.5,826.0899999999999,20,15
123,234.0,1058.09,12,9
124,168.0,1224.09,9,6
125,156.0,1378.09,8,6
126,268.0,1644.09,14,10
127,316.0,358.0899999999999,15,11
128,276.0,632.0899999999999,12,9
129,303.0,933.0899999999999,13,9
130,314.0,1245.09,13,9
131,314.0,1557.09,13,9
132,192.0,1747.09,8,6
133,479.0,2224.09,19,14
134,466.0,2688.09,18,13
135,386.5,3072.59,14,11
136,336.0,1246.5900000000001,12,9
137,480.0,1724.5900000000001,17,12
138,263.5,1986.0900000000001,9,7
139,224.0,768.0900000000001,8,6
140,402.0,1168.0900000000001,14,10
141,426.0,1592.0900000000001,14,10
142,561.0,871.0900000000001,17,13
143,608.0,1477.0900000000001,17,13
144,703.0,2178.09,19,14
145,270.0,2446.09,8,6
146,312.0,2756.09,10,7
147,637.0,3391.09,19,14
148,578.0,3967.09,17,13
149,426.0,4391.09,12,9
150,580.0,1449.0900000000001,15,11
151,744.0,2191.09,18,14
152,370.0,2559.09,10,7
153,375.0,2932.09,11,8
154,580.0,3510.09,16,12
155,705.0,4213.09,18,13
156,545.0,916.0900000000001,13,10
157,643.0,1557.0900000000001,15,11
158,567.0,2122.09,13,9
159,438.0,2558.09,10,7
160,470.0,3026.09,11,8
161,540.0,3564.09,12,9
162,829.0,4391.09,18,13
163,915.0,5304.09,19,14
164,660.0,5962.09,13,10
165,773.0,6733.09,15,11
166,475.0,7206.09,9,7
167,565.0,7769.09,11,8
168,1014.0,1581.0900000000001,19,14
169,888.0,2467.09,16,12
170,916.0,3381.09,16,12
171,842.0,4221.09,14,11
172,1146.0,2369.89,19,14
173,752.0,3119.89,13,10
174,458.0,3575.89,8,6
175,877.0,4450.889999999999,15,11
176,1110.0,5558.889999999999,18,14
177,1212.0,6768.889999999999,19,14
178,1278.0,8044.889999999999,19,14
179,1302.0,9344.89,18,14
180,570.0,9912.89,8,6
181,774.0,10684.89,11,8
182,1067.0,5029.889999999999,14,11
183,1050.0,2797.8899999999994,14,10
184,1280.0,4075.8899999999994,16,12
185,1122.0,5195.889999999999,14,10
186,1256.0,6449.889999999999,15,11
187,1014.0,7461.889999999999,12,9
188,918.0,8377.89,11,8
189,1165.0,2180.8899999999994,13,9
190,1445.0,3623.8899999999994,14,11
191,1320.0,4941.889999999999,12,9
192,2170.0,7109.889999999999,18,14
193,2405.0,9512.89,19,14
194,1020.0,10530.89,8,6
195,950.0,11478.89,8,6
196,2185.0,13661.89,17,13
197,1715.0,4174.889999999999,13,9
198,1575.0,5747.889999999999,11,8
199,1624.0,7369.889999999999,11,8
200,2480.0,9847.89,17,12
201,1882.0,11727.89,13,9
202,1559.0,13284.89,11,8
203,2368.0,15650.89,16,12
204,1630.0,4478.889999999999,11,8
205,2265.0,6741.889999999999,14,11
206,2390.0,9129.89,14,11
207,2925.0,12052.89,17,12
208,1820.0,13870.89,11,8
209,1150.0,7018.889999999999,7,5
210,2220.0,9236.89,12,9
211,3655.0,12889.89,19,14
212,2660.0,15547.89,13,10
213,2890.0,18435.89,13,10
214,3140.0,21573.89,14,10
215,1760.0,23331.89,8,6
216,1970.0,25299.89,10,7
217,2295.0,8392.89,11,8
218,3020.0,11410.89,14,10
219,3390.0,14798.89,14,11
220,3350.0,18146.89,13,10
221,3270.0,21414.89,12,9
222,2040.0,23452.89,8,6
223,2040.0,25490.89,8,6
224,43.6,25532.489999999998,16,12
225,43.1,24795.589999999997,15,11
226,54.5,24808.489999999994,18,13
227,49.8,24856.289999999994,15,11
228,66.5,24920.789999999994,19,14
229,40.2,24958.989999999994,12,9
230,23.0,24979.989999999994,7,5
231,69.80000000000001,23438.669999999995,19,14
232,76.4,23513.069999999996,19,14
233,67.6,19898.669999999995,16,12
234,74.0,19970.669999999995,16,12
235,81.4,20050.069999999996,17,13
236,47.8,20095.869999999995,11,8
237,37.0,20130.869999999995,9,7
238,70.1,20198.969999999994,17,12
239,83.0,20279.969999999994,19,14
240,57.0,20334.969999999994,12,9
241,71.7,20404.669999999995,14,11
242,92.1,18214.769999999993,17,13
243,67.0,18279.769999999993,13,10
244,64.2,18341.969999999994,13,9
245,88.0,18427.969999999994,16,12
246,105.25,18531.219999999994,18,13
247,113.0,18642.219999999994,18,13
248,109.0,18749.219999999994,16,12
249,91.25,18838.469999999994,13,9
250,78.75,18915.219999999994,11,8
251,87.0,19000.219999999994,12,9
252,144.3,16381.719999999994,19,14
253,120.75,16500.469999999994,15,11
254,102.75,16601.219999999994,12,9
255,108.0,16707.219999999994,12,9
256,178.0,16883.219999999994,19,14
257,75.5,16956.719999999994,8,6
258,113.25,17067.969999999994,12,9
259,168.0,13773.969999999994,17,12
260,144.5,13916.469999999994,13,10
261,142.5,14056.969999999994,12,9
262,153.0,14207.969999999994,12,9
263,218.0,14423.969999999994,16,12
264,138.5,14560.469999999994,11,8
265,112.0,14670.469999999994,9,7
266,180.0,10368.469999999994,14,10
267,280.0,10646.469999999994,20,15
268,208.0,10852.469999999994,15,11
269,221.0,11071.469999999994,15,11
270,252.0,4521.469999999994,16,12
271,189.0,4708.469999999994,12,9
272,198.0,4904.469999999994,13,9
273,232.0,5134.469999999994,14,11
274,254.5,5386.969999999994,15,11
275,339.5,5724.469999999994,19,14
276,280.5,6002.969999999994,15,11
277,259.5,6260.469999999994,13,10
278,226.5,6484.969999999994,12,9
279,151.0,6633.969999999994,8,6
280,237.0,6868.969999999994,12,9
281,294.5,7161.469999999994,14,11
282,358.0,7517.469999999994,16,12
283,438.5,7953.969999999994,19,14
284,398.5,8350.469999999994,17,13
285,172.0,8520.469999999994,8,6
286,258.0,8776.469999999994,12,9
287,294.0,9068.469999999994,13,10
288,425.0,9491.469999999994,18,14
289,413.5,9902.969999999994,17,13
290,400.0,10300.969999999994,16,12
291,310.5,10609.469999999994,12,9
292,171.5,10778.969999999994,7,5
293,289.5,11066.469999999994,12,9
294,457.0,11521.469999999994,18,14
295,458.5,11977.969999999994,17,13
296,552.5,12528.469999999994,20,15
297,488.5,13014.969999999994,17,13
298,537.0,13549.969999999994,18,14
299,277.0,13824.969999999994,10,7
